llm,language,question,n_variants,n_obs,k_harmonic,msb,msw,icc1
deepseek-v4-flash,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-flash,en,A165,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-flash,en,E018,10,50,5.000000000000001,0.2866666666666668,0.27999999999999997,0.004739336492891104
deepseek-v4-flash,en,E025,10,50,5.000000000000001,0.19777777777777772,0.14,0.07624633431085033
deepseek-v4-flash,en,F063,10,50,5.000000000000001,3.075555555555556,0.8099999999999999,0.35872624912033774
deepseek-v4-flash,en,F118,10,50,5.000000000000001,5.699999999999999,0.7799999999999999,0.5578231292517005
deepseek-v4-flash,en,F120,10,50,5.000000000000001,0.08000000000000014,0.07999999999999999,3.816391647148974e-16
deepseek-v4-flash,en,G006,10,50,5.000000000000001,0.1866666666666667,0.05,0.353448275862069
deepseek-v4-flash,en,Y002,10,50,5.000000000000001,1.0244444444444445,0.22999999999999998,0.4085714285714286
deepseek-v4-flash,en,Y003,10,50,5.000000000000001,0.3133333333333334,0.16999999999999998,0.1442953020134229
deepseek-v4-flash:0731,en,A008,10,50,5.000000000000001,0.31111111111111117,0.13,0.2179144385026738
deepseek-v4-flash:0731,en,A165,10,50,5.000000000000001,0.40888888888888897,0.16,0.2372881355932204
deepseek-v4-flash:0731,en,E018,10,50,5.000000000000001,0.3666666666666667,0.18000000000000002,0.17177914110429446
deepseek-v4-flash:0731,en,E025,10,50,5.000000000000001,0.1977777777777778,0.14,0.07624633431085043
deepseek-v4-flash:0731,en,F063,10,50,5.000000000000001,5.468888888888888,0.97,0.4812217732350843
deepseek-v4-flash:0731,en,F118,10,50,5.000000000000001,1.1222222222222231,0.45999999999999996,0.2235558889722433
deepseek-v4-flash:0731,en,F120,10,50,5.000000000000001,0.4355555555555555,0.27999999999999997,0.09999999999999996
deepseek-v4-flash:0731,en,G006,10,50,5.000000000000001,0.6755555555555558,0.15999999999999998,0.391891891891892
deepseek-v4-flash:0731,en,Y002,10,50,5.000000000000001,1.1111111111111116,0.3,0.35096153846153855
deepseek-v4-flash:0731,en,Y003,10,50,5.000000000000001,0.27555555555555566,0.21000000000000002,0.05876494023904389
deepseek-v4-pro,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-pro,en,A165,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-pro,en,E018,10,50,5.000000000000001,0.8088888888888887,0.16,0.4478527607361961
deepseek-v4-pro,en,E025,10,50,5.000000000000001,0.32000000000000006,0.24000000000000005,0.062499999999999986
deepseek-v4-pro,en,F063,10,50,5.000000000000001,5.733333333333333,1.56,0.3485523385300668
deepseek-v4-pro,en,F118,10,50,5.000000000000001,8.153333333333334,0.51,0.7498364944408109
deepseek-v4-pro,en,F120,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-pro,en,G006,10,50,5.000000000000001,1.2644444444444447,0.05,0.8292867981790593
deepseek-v4-pro,en,Y002,10,50,5.000000000000001,1.4866666666666668,0.21999999999999997,0.5352112676056338
deepseek-v4-pro,en,Y003,10,50,5.000000000000001,0.48888888888888893,0.19,0.23932384341637009
gemma4:31b,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,en,A165,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,en,E018,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,en,E025,10,50,5.000000000000001,1.2977777777777775,0.02,0.9274193548387096
gemma4:31b,en,F063,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,en,F118,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,en,F120,7,27,2.7450980392156863,0.0,0.0,0.0
gemma4:31b,en,G006,9,45,5.000000000000001,0.20000000000000007,0.03333333333333333,0.5000000000000001
gemma4:31b,en,Y002,10,50,5.000000000000001,0.5,0.0,1.0
gemma4:31b,en,Y003,10,50,5.000000000000001,0.0,0.0,0.0
glm-5.1,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
glm-5.1,en,A165,10,50,5.000000000000001,0.019999999999999993,0.02,0.0
glm-5.1,en,E018,10,50,5.000000000000001,1.2533333333333334,0.76,0.11490683229813663
glm-5.1,en,E025,10,50,5.000000000000001,0.09111111111111107,0.05,0.14122137404580137
glm-5.1,en,F063,10,50,5.000000000000001,5.60222222222222,0.6599999999999999,0.5996225397681314
glm-5.1,en,F118,10,50,5.000000000000001,0.08000000000000015,0.07999999999999999,4.1633363423443355e-16
glm-5.1,en,F120,10,50,5.000000000000001,0.28666666666666635,0.16999999999999998,0.12068965517241352
glm-5.1,en,G006,10,50,5.000000000000001,0.3199999999999999,0.019999999999999997,0.7499999999999999
glm-5.1,en,Y002,10,50,5.000000000000001,2.3200000000000003,0.29000000000000004,0.5833333333333334
glm-5.1,en,Y003,10,50,5.000000000000001,0.8888888888888891,0.45000000000000007,0.16322314049586775
glm-5.2,en,A008,10,50,5.000000000000001,0.10888888888888885,0.15999999999999998,0.0
glm-5.2,en,A165,10,50,5.000000000000001,0.5777777777777778,0.17,0.32420494699646635
glm-5.2,en,E018,10,50,5.000000000000001,0.49777777777777793,0.44000000000000006,0.025590551181102397
glm-5.2,en,E025,10,50,5.000000000000001,0.04666666666666665,0.06000000000000001,0.0
glm-5.2,en,F063,10,50,5.000000000000001,2.224444444444444,0.53,0.39002557544757016
glm-5.2,en,F118,10,50,5.000000000000001,3.468888888888889,1.9599999999999997,0.1334250343878955
glm-5.2,en,F120,10,50,5.000000000000001,1.0777777777777784,0.42000000000000004,0.23851732473811452
glm-5.2,en,G006,10,50,5.000000000000001,0.4466666666666668,0.23000000000000004,0.1585365853658537
glm-5.2,en,Y002,10,49,4.878048780487806,2.0599773242630386,0.5115384615384616,0.3829216602040704
