llm,cohort,question,attempted_en,attempted_zh,n_refusal_en,n_refusal_zh,refusals_zh_minus_en
deepseek-v4-flash,Chinese,E025,50,50,0,0,0
deepseek-v4-flash,Chinese,F063,50,50,0,0,0
deepseek-v4-flash,Chinese,F118,50,50,0,0,0
deepseek-v4-flash,Chinese,F120,50,50,0,0,0
deepseek-v4-flash,Chinese,G006,50,50,0,0,0
deepseek-v4-flash:0731,Chinese,E025,50,50,0,0,0
deepseek-v4-flash:0731,Chinese,F063,50,50,0,0,0
deepseek-v4-flash:0731,Chinese,F118,50,50,0,0,0
deepseek-v4-flash:0731,Chinese,F120,50,50,0,0,0
deepseek-v4-flash:0731,Chinese,G006,50,50,0,0,0
deepseek-v4-pro,Chinese,E025,50,50,0,0,0
deepseek-v4-pro,Chinese,F063,50,50,0,0,0
deepseek-v4-pro,Chinese,F118,50,50,0,0,0
deepseek-v4-pro,Chinese,F120,50,50,0,0,0
deepseek-v4-pro,Chinese,G006,50,50,0,0,0
gemma4:31b,Western,E025,50,50,0,0,0
gemma4:31b,Western,F063,50,50,0,0,0
gemma4:31b,Western,F118,50,50,0,0,0
gemma4:31b,Western,F120,50,50,22,1,-21
gemma4:31b,Western,G006,50,50,5,0,-5
glm-5.1,Chinese,E025,50,50,0,0,0
glm-5.1,Chinese,F063,50,50,0,0,0
glm-5.1,Chinese,F118,50,50,0,0,0
glm-5.1,Chinese,F120,50,50,0,0,0
glm-5.1,Chinese,G006,50,50,0,0,0
glm-5.2,Chinese,E025,50,50,0,0,0
glm-5.2,Chinese,F063,50,50,0,0,0
glm-5.2,Chinese,F118,50,50,0,0,0
glm-5.2,Chinese,F120,50,50,0,0,0
glm-5.2,Chinese,G006,50,50,0,0,0
gpt-oss:120b,Western,E025,50,50,0,0,0
gpt-oss:120b,Western,F063,50,50,0,0,0
gpt-oss:120b,Western,F118,50,50,9,12,3
gpt-oss:120b,Western,F120,50,50,1,3,2
gpt-oss:120b,Western,G006,50,50,0,0,0
gpt-oss:20b,Western,E025,50,50,0,1,1
gpt-oss:20b,Western,F063,50,50,0,0,0
gpt-oss:20b,Western,F118,50,50,0,0,0
gpt-oss:20b,Western,F120,50,50,0,0,0
gpt-oss:20b,Western,G006,50,50,0,0,0
kimi-k2.6,Chinese,E025,50,50,0,0,0
kimi-k2.6,Chinese,F063,50,50,0,0,0
kimi-k2.6,Chinese,F118,50,50,0,0,0
kimi-k2.6,Chinese,F120,50,50,0,0,0
kimi-k2.6,Chinese,G006,50,50,0,0,0
kimi-k2.7-code,Chinese,E025,50,50,0,0,0
kimi-k2.7-code,Chinese,F063,50,50,0,0,0
kimi-k2.7-code,Chinese,F118,50,50,0,0,0
kimi-k2.7-code,Chinese,F120,50,50,0,0,0
kimi-k2.7-code,Chinese,G006,50,50,0,0,0
minimax-m2.7,Chinese,E025,50,50,0,0,0
minimax-m2.7,Chinese,F063,50,50,0,0,0
minimax-m2.7,Chinese,F118,50,50,0,0,0
minimax-m2.7,Chinese,F120,50,50,0,1,1
minimax-m2.7,Chinese,G006,50,50,0,0,0
minimax-m3,Chinese,E025,50,50,0,0,0
minimax-m3,Chinese,F063,50,50,0,2,2
minimax-m3,Chinese,F118,50,50,0,11,11
minimax-m3,Chinese,F120,50,50,0,2,2
minimax-m3,Chinese,G006,50,50,0,1,1
mistral-large-3:675b,Western,E025,50,50,0,0,0
mistral-large-3:675b,Western,F063,50,50,0,0,0
mistral-large-3:675b,Western,F118,50,50,0,0,0
mistral-large-3:675b,Western,F120,50,50,0,0,0
mistral-large-3:675b,Western,G006,50,50,0,0,0
nemotron-3-nano:30b,Western,E025,50,50,0,0,0
nemotron-3-nano:30b,Western,F063,50,50,0,0,0
nemotron-3-nano:30b,Western,F118,50,50,0,0,0
nemotron-3-nano:30b,Western,F120,50,50,0,0,0
nemotron-3-nano:30b,Western,G006,50,50,0,0,0
nemotron-3-super,Western,E025,50,50,0,0,0
nemotron-3-super,Western,F063,50,50,0,0,0
nemotron-3-super,Western,F118,50,50,0,0,0
nemotron-3-super,Western,F120,50,50,0,1,1
nemotron-3-super,Western,G006,50,50,0,0,0
nemotron-3-ultra,Western,E025,50,50,0,0,0
nemotron-3-ultra,Western,F063,50,50,2,3,1
nemotron-3-ultra,Western,F118,50,50,12,15,3
nemotron-3-ultra,Western,F120,50,50,19,33,14
nemotron-3-ultra,Western,G006,50,50,1,3,2
qwen3.5:397b,Chinese,E025,50,50,0,0,0
qwen3.5:397b,Chinese,F063,50,50,0,0,0
qwen3.5:397b,Chinese,F118,50,50,0,0,0
qwen3.5:397b,Chinese,F120,50,50,2,0,-2
qwen3.5:397b,Chinese,G006,50,50,0,0,0
