llm,language,question,attempted,parsed,n_failed,n_refusal,n_other_failure,refusal_rate
deepseek-v4-flash,en,A008,50,50,0,0,0,0.0
deepseek-v4-flash,en,A165,50,50,0,0,0,0.0
deepseek-v4-flash,en,E018,50,50,0,0,0,0.0
deepseek-v4-flash,en,E025,50,50,0,0,0,0.0
deepseek-v4-flash,en,F063,50,50,0,0,0,0.0
deepseek-v4-flash,en,F118,50,50,0,0,0,0.0
deepseek-v4-flash,en,F120,50,50,0,0,0,0.0
deepseek-v4-flash,en,G006,50,50,0,0,0,0.0
deepseek-v4-flash,en,Y002,50,50,0,0,0,0.0
deepseek-v4-flash,en,Y003,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,A008,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,A165,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,E018,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,E025,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,F063,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,F118,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,F120,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,G006,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,Y002,50,50,0,0,0,0.0
deepseek-v4-flash:0731,en,Y003,50,50,0,0,0,0.0
deepseek-v4-pro,en,A008,50,50,0,0,0,0.0
deepseek-v4-pro,en,A165,50,50,0,0,0,0.0
deepseek-v4-pro,en,E018,50,50,0,0,0,0.0
deepseek-v4-pro,en,E025,50,50,0,0,0,0.0
deepseek-v4-pro,en,F063,50,50,0,0,0,0.0
deepseek-v4-pro,en,F118,50,50,0,0,0,0.0
deepseek-v4-pro,en,F120,50,50,0,0,0,0.0
deepseek-v4-pro,en,G006,50,50,0,0,0,0.0
deepseek-v4-pro,en,Y002,50,50,0,0,0,0.0
deepseek-v4-pro,en,Y003,50,50,0,0,0,0.0
gemma4:31b,en,A008,50,50,0,0,0,0.0
gemma4:31b,en,A165,50,50,0,0,0,0.0
gemma4:31b,en,E018,50,50,0,0,0,0.0
gemma4:31b,en,E025,50,50,0,0,0,0.0
gemma4:31b,en,F063,50,50,0,0,0,0.0
gemma4:31b,en,F118,50,50,0,0,0,0.0
gemma4:31b,en,F120,50,27,23,22,1,0.44
gemma4:31b,en,G006,50,45,5,5,0,0.1
gemma4:31b,en,Y002,50,50,0,0,0,0.0
gemma4:31b,en,Y003,50,50,0,0,0,0.0
glm-5.1,en,A008,50,50,0,0,0,0.0
glm-5.1,en,A165,50,50,0,0,0,0.0
glm-5.1,en,E018,50,50,0,0,0,0.0
glm-5.1,en,E025,50,50,0,0,0,0.0
glm-5.1,en,F063,50,50,0,0,0,0.0
glm-5.1,en,F118,50,50,0,0,0,0.0
glm-5.1,en,F120,50,50,0,0,0,0.0
glm-5.1,en,G006,50,50,0,0,0,0.0
glm-5.1,en,Y002,50,50,0,0,0,0.0
glm-5.1,en,Y003,50,50,0,0,0,0.0
glm-5.2,en,A008,50,50,0,0,0,0.0
glm-5.2,en,A165,50,50,0,0,0,0.0
glm-5.2,en,E018,50,50,0,0,0,0.0
glm-5.2,en,E025,50,50,0,0,0,0.0
glm-5.2,en,F063,50,50,0,0,0,0.0
glm-5.2,en,F118,50,50,0,0,0,0.0
glm-5.2,en,F120,50,50,0,0,0,0.0
glm-5.2,en,G006,50,50,0,0,0,0.0
glm-5.2,en,Y002,50,49,1,0,1,0.0
