llm,language,min_parsed_per_item,include_at_5,include_at_10,include_at_25,flips
deepseek-v4-flash,en,50,True,True,True,False
deepseek-v4-flash:0731,en,50,True,True,True,False
deepseek-v4-pro,en,50,True,True,True,False
gemma4:31b,en,27,True,True,True,False
glm-5.1,en,50,True,True,True,False
glm-5.2,en,49,True,True,True,False
gpt-oss:120b,en,41,True,True,True,False
gpt-oss:20b,en,50,True,True,True,False
kimi-k2.6,en,50,True,True,True,False
kimi-k2.7-code,en,50,True,True,True,False
minimax-m2.7,en,50,True,True,True,False
minimax-m3,en,50,True,True,True,False
mistral-large-3:675b,en,50,True,True,True,False
nemotron-3-nano:30b,en,49,True,True,True,False
nemotron-3-super,en,50,True,True,True,False
nemotron-3-ultra,en,29,True,True,True,False
qwen3.5:397b,en,47,True,True,True,False
deepseek-v4-flash,zh,50,True,True,True,False
deepseek-v4-flash:0731,zh,50,True,True,True,False
deepseek-v4-pro,zh,50,True,True,True,False
gemma4:31b,zh,46,True,True,True,False
glm-5.1,zh,50,True,True,True,False
glm-5.2,zh,50,True,True,True,False
gpt-oss:120b,zh,38,True,True,True,False
gpt-oss:20b,zh,49,True,True,True,False
kimi-k2.6,zh,50,True,True,True,False
kimi-k2.7-code,zh,50,True,True,True,False
minimax-m2.7,zh,49,True,True,True,False
minimax-m3,zh,37,True,True,True,False
mistral-large-3:675b,zh,50,True,True,True,False
nemotron-3-nano:30b,zh,48,True,True,True,False
nemotron-3-super,zh,49,True,True,True,False
nemotron-3-ultra,zh,4,False,False,False,False
qwen3.5:397b,zh,49,True,True,True,False
