llm,question,en_mean,zh_mean,zh_minus_en
deepseek-v4-flash,A008,2.0,2.0,0.0
deepseek-v4-flash,A165,2.0,1.8,-0.19999999999999996
deepseek-v4-flash,E018,1.38,1.5,0.1200000000000001
deepseek-v4-flash,E025,1.18,1.64,0.45999999999999996
deepseek-v4-flash,F063,6.28,6.4,0.1200000000000001
deepseek-v4-flash,F118,8.7,9.48,0.7800000000000011
deepseek-v4-flash,F120,4.96,6.14,1.1799999999999997
deepseek-v4-flash,G006,1.92,2.0,0.08000000000000007
deepseek-v4-flash,Y002,1.54,1.06,-0.48
deepseek-v4-flash,Y003,1.26,2.0,0.74
deepseek-v4-flash:0731,A008,1.8,1.74,-0.06000000000000005
deepseek-v4-flash:0731,A165,1.72,1.04,-0.6799999999999999
deepseek-v4-flash:0731,E018,1.3,1.58,0.28
deepseek-v4-flash:0731,E025,1.18,1.82,0.6400000000000001
deepseek-v4-flash:0731,F063,6.86,6.3,-0.5600000000000005
deepseek-v4-flash:0731,F118,9.7,9.06,-0.6399999999999988
deepseek-v4-flash:0731,F120,5.24,6.5,1.2599999999999998
deepseek-v4-flash:0731,G006,1.52,1.5,-0.020000000000000018
deepseek-v4-flash:0731,Y002,1.8,1.94,0.1399999999999999
deepseek-v4-flash:0731,Y003,1.32,1.98,0.6599999999999999
deepseek-v4-pro,A008,2.0,2.0,0.0
deepseek-v4-pro,A165,2.0,1.84,-0.15999999999999992
deepseek-v4-pro,E018,2.08,2.06,-0.020000000000000018
deepseek-v4-pro,E025,1.52,1.82,0.30000000000000004
deepseek-v4-pro,F063,5.6,6.06,0.45999999999999996
deepseek-v4-pro,F118,8.62,9.96,1.3400000000000016
deepseek-v4-pro,F120,5.0,6.7,1.7000000000000002
deepseek-v4-pro,G006,2.18,2.02,-0.16000000000000014
deepseek-v4-pro,Y002,1.42,1.08,-0.33999999999999986
deepseek-v4-pro,Y003,1.4,2.0,0.6000000000000001
gemma4:31b,A008,2.0,1.82,-0.17999999999999994
gemma4:31b,A165,2.0,1.66,-0.3400000000000001
gemma4:31b,E018,2.0,2.56,0.56
gemma4:31b,E025,1.52,2.0,0.48
gemma4:31b,F063,5.0,4.2,-0.7999999999999998
gemma4:31b,F118,10.0,10.0,0.0
gemma4:31b,F120,5.0,5.0,0.0
gemma4:31b,G006,1.9333333333333333,1.1,-0.8333333333333333
gemma4:31b,Y002,2.1,2.14,0.040000000000000036
gemma4:31b,Y003,2.0,2.0,0.0
glm-5.1,A008,2.0,2.0,0.0
glm-5.1,A165,1.98,1.4,-0.5800000000000001
glm-5.1,E018,1.92,2.46,0.54
glm-5.1,E025,1.06,1.2,0.1399999999999999
glm-5.1,F063,6.94,6.2,-0.7400000000000002
glm-5.1,F118,9.96,9.28,-0.6800000000000015
glm-5.1,F120,5.18,5.14,-0.040000000000000036
glm-5.1,G006,2.08,1.74,-0.3400000000000001
glm-5.1,Y002,1.48,1.32,-0.15999999999999992
glm-5.1,Y003,1.2,1.94,0.74
glm-5.2,A008,1.82,2.0,0.17999999999999994
glm-5.2,A165,1.6,1.28,-0.32000000000000006
glm-5.2,E018,1.28,1.54,0.26
glm-5.2,E025,1.06,1.22,0.15999999999999992
glm-5.2,F063,7.34,7.22,-0.1200000000000001
glm-5.2,F118,9.26,9.08,-0.17999999999999972
glm-5.2,F120,5.7,7.0,1.2999999999999998
glm-5.2,G006,1.66,1.78,0.1200000000000001
glm-5.2,Y002,1.8979591836734695,1.72,-0.17795918367346952
glm-5.2,Y003,1.08,2.0,0.9199999999999999
gpt-oss:120b,A008,1.98,2.0,0.020000000000000018
gpt-oss:120b,A165,1.02,1.02,0.0
gpt-oss:120b,E018,2.3,2.14,-0.1599999999999997
gpt-oss:120b,E025,1.82,1.86,0.040000000000000036
